Designator,Mid X,Mid Y,Rotation,Layer
C1_4,64.2654,-50.143,0,top
C1_3,43.3954,-50.143,0,top
C1_2,22.5254,-50.143,0,top
C1,85.1354,-50.143,0,top
C10_4,9.7256,-93.7672,90,top
C10_3,72.3356,-93.7672,90,top
C10_2,30.5956,-93.7672,90,top
C10,51.4656,-93.7672,90,top
C12_4,80.2096,-79.366,270,top
C12_3,17.5996,-79.366,270,top
C12_2,59.3396,-79.366,270,top
C12,38.4696,-79.366,270,top
C2_4,17.5996,-5.9218,270,top
C2_3,38.4696,-5.9218,270,top
C2_2,80.2096,-5.9218,270,top
C2,59.3396,-5.9218,270,top
C3_4,59.3142,-13.898,270,top
C3_3,38.4442,-13.898,270,top
C3_2,17.5742,-13.898,270,top
C3,80.1842,-13.898,270,top
C4_4,80.108,-18.4192,270,top
C4_3,17.498,-18.4192,270,top
C4_2,59.238,-18.4192,270,top
C4,38.368,-18.4192,270,top
C5_4,78.952,-22.1908,0,top
C5_3,16.342,-22.1908,0,top
C5_2,58.082,-22.1908,0,top
C5,37.212,-22.1908,0,top
C6_4,50.5766,-79.3406,270,top
C6_3,29.7066,-79.3406,270,top
C6_2,71.4466,-79.3406,270,top
C6,8.8366,-79.3406,270,top
C7_4,78.7364,-43.92,0,top
C7_3,57.8664,-43.92,0,top
C7_2,36.9964,-43.92,0,top
C7,16.1264,-43.92,0,top
C8_4,58.7808,-93.7418,90,top
C8_3,37.9108,-93.7418,90,top
C8_2,17.0408,-93.7418,90,top
C8,79.6508,-93.7418,90,top
C9_4,37.2374,-25.0864,0,top
C9_3,16.3674,-25.0864,0,top
C9_2,58.1074,-25.0864,0,top
C9,78.9774,-25.0864,0,top
D1_4,19.0982,-32.0582,0,top
D1_3,60.8382,-32.0582,0,top
D1_2,39.9682,-32.0582,0,top
D1,81.7082,-32.0582,0,top
D10_4,50.2464,-88.9542,90,top
D10_3,71.1164,-88.9542,90,top
D10_2,8.5064,-88.9542,90,top
D10,29.3764,-88.9542,90,top
D2_4,86.8136,-84.4076,270,top
D2_3,65.9436,-84.4076,270,top
D2_2,45.0736,-84.4076,270,top
D2,24.2036,-84.4076,270,top
D3_4,34.3548,-32.0582,180,top
D3_3,13.4848,-32.0582,180,top
D3_2,76.0948,-32.0582,180,top
D3,55.2248,-32.0582,180,top
D5_4,43.3124,-53.191,180,top
D5_3,64.1824,-53.191,180,top
D5_2,22.4424,-53.191,180,top
D5,85.0524,-53.191,180,top
D6_4,50.348,-84.4838,270,top
D6_3,29.478,-84.4838,270,top
D6_2,71.218,-84.4838,270,top
D6,8.608,-84.4838,270,top
D7_4,81.7336,-34.9792,0,top
D7_3,39.9936,-34.9792,0,top
D7_2,60.8636,-34.9792,0,top
D7,19.1236,-34.9792,0,top
D8_4,24.2036,-88.878,90,top
D8_3,65.9436,-88.878,90,top
D8_2,45.0736,-88.878,90,top
D8,86.8136,-88.878,90,top
D9_4,13.3832,-34.9792,180,top
D9_3,75.9932,-34.9792,180,top
D9_2,34.2532,-34.9792,180,top
D9,55.1232,-34.9792,180,top
R1_4,36.0058,-5.8972,90,top
R1_3,56.8758,-5.8972,90,top
R1_2,15.1358,-5.8972,90,top
R1,77.7458,-5.8972,90,top
R10_4,86.8644,-67.352,90,top
R10_3,65.9944,-67.352,90,top
R10_2,24.2544,-67.352,90,top
R10,45.1244,-67.352,90,top
R11_4,62.9464,-59.35,90,top
R11_3,83.8164,-59.35,90,top
R11_2,21.2064,-59.35,90,top
R11,42.0764,-59.35,90,top
R12_4,23.1368,-79.3906,270,top
R12_3,44.0068,-79.3906,270,top
R12_2,85.7468,-79.3906,270,top
R12,64.8768,-79.3906,270,top
R2_4,57.0536,-13.8972,90,top
R2_3,77.9236,-13.8972,90,top
R2_2,36.1836,-13.8972,90,top
R2,15.3136,-13.8972,90,top
R3_4,36.082,-18.425,90,top
R3_3,77.822,-18.425,90,top
R3_2,56.952,-18.425,90,top
R3,15.212,-18.425,90,top
R4_4,11.6814,-79.3398,270,top
R4_3,74.2914,-79.3398,270,top
R4_2,53.4214,-79.3398,270,top
R4,32.5514,-79.3398,270,top
R5_4,14.5516,-79.3398,270,top
R5_3,56.2916,-79.3398,270,top
R5_2,77.1616,-79.3398,270,top
R5,35.4216,-79.3398,270,top
R6_4,64.9022,-93.7426,90,top
R6_3,44.0322,-93.7426,90,top
R6_2,23.1622,-93.7426,90,top
R6,85.7722,-93.7426,90,top
R7_4,40.9842,-93.7426,90,top
R7_3,20.1142,-93.7426,90,top
R7_2,82.7242,-93.7426,90,top
R7,61.8542,-93.7426,90,top
R8_4,34.1262,-93.768,90,top
R8_3,54.9962,-93.768,90,top
R8_2,13.2562,-93.768,90,top
R8,75.8662,-93.768,90,top
R9_4,20.4444,-79.3652,270,top
R9_3,62.1844,-79.3652,270,top
R9_2,83.0544,-79.3652,270,top
R9,41.3144,-79.3652,270,top
